customer_ID,name,email,phone-number
100100,Sherri Ortiz,Ortiz.Sherri37@mail.com,315-741-7352
100101,John Patel,JPatel@yandex.com,779-515-8181
100102,Ashley Stewart,Ashley_Stewart47@aol.com,328-942-1542
100103,Vanessa Taylor,Vanessa.T74@outlook.com,684-380-1411
100104,Erik Jordan,Erik_Jordan@yandex.com,649-894-9639
100105,John Rich,John.Rich@att.com,553-628-6390
100106,Eric White,EWhite@yandex.com,103-323-0529
100107,Robert Smith,RSmith97@verizon.com,176-138-9283
100108,David Pierce,Pierce_David@gmail.com,418-461-4183
100109,Todd Mitchell,Todd_M51@mail.com,491-988-0800
100110,Jennifer Munoz,JenniferMunoz@protonmail.com,473-380-0858
100111,April Norris,April.N@xfinity.com,628-276-6265
100112,Marc Conner,Marc_C91@outlook.com,850-849-3378
100113,William Whitaker,William.Whitaker@comcast.net,854-375-2354
100114,Mark Blair,Mark.Blair12@yahoo.com,949-594-2900
100115,Martha Merritt,Merritt_Martha@hotmail.com,328-079-3481
100116,Alicia Williams,Williams_Alicia12@mail.com,652-076-0164
100117,Zachary Singleton,Zachary_S@protonmail.com,807-517-1063
100118,Brian Carrillo,Brian.C@hotmail.com,280-823-8150
100119,Jeffrey Tyler,Tyler_Jeffrey@outlook.com,210-775-4244
100120,Evan Aguirre,EvanAguirre94@verizon.com,146-022-0071
100121,Natasha Morris,Morris_Natasha53@zoho.com,927-036-0847
100122,Sandra Reyes,Sandra_Reyes25@yahoo.com,988-600-2479
100123,Jennifer Soto,Soto_Jennifer@aol.com,567-918-3291
100124,Sylvia Valdez,Valdez.Sylvia@mail.com,197-958-9271
100125,Anthony Bautista,Anthony_B45@mail.com,825-793-6913
100126,Jaclyn Garcia,Jaclyn.G93@aol.com,363-808-9123
100127,Kevin Wheeler,Kevin.W@yandex.com,684-547-6271
100128,Walter Oconnor,WalterOconnor@gmail.com,699-324-3965
100129,Michael Johnson,Michael_Johnson@protonmail.com,759-246-0968
100130,Dean Pierce,DPierce@comcast.net,101-406-6133
100131,Shawn Davidson,Shawn.D@protonmail.com,529-986-1128
100132,Christopher Pugh,Christopher.Pugh@yandex.com,780-440-1080
100133,Catherine Garcia,Catherine_G@yahoo.com,609-223-4784
100134,Kristen Camacho,KCamacho33@zoho.com,225-479-8263
100135,Paula Graham,Paula_Graham@yahoo.com,594-175-4450
100136,Stephen Singleton,Stephen_S30@att.com,774-809-6030
100137,Tracy Warren,Tracy_Warren@att.com,508-840-0238
100138,Cassandra Peters,Cassandra.P@zoho.com,719-827-2097
100139,Corey Rhodes,Rhodes_Corey61@verizon.com,817-965-9422
100140,Erin Williams,Erin.W15@xfinity.com,447-650-4977
100141,Karen Diaz,KarenDiaz@att.com,450-298-8946
100142,Christian Wilson,Christian_Wilson@mail.com,314-551-4175
100143,Brandon Owens,Brandon_Owens@protonmail.com,730-063-9089
100144,Heather Kelly,Heather_Kelly41@yandex.com,451-292-4099
100145,Craig Butler,Butler.Craig@outlook.com,619-994-3280
100146,Patrick Jones,Patrick_Jones19@yandex.com,194-067-6466
100147,Madeline Erickson,Erickson_Madeline35@yahoo.com,369-008-9658
