customer_ID	AddressType	AddressLine1	AddressLine2	City	StateProvinceName	PostalCode	CountryRegionName
100100	Home	"00, rue Saint-Lazare"	NULL	Dunkerque	Nord	59140	France
100101	Home	"02, place de Fontenoy"	NULL	Verrieres Le Buisson	Essonne	91370	France
100102	Home	"035, boulevard du Montparnasse"	NULL	Verrieres Le Buisson	Essonne	91370	France
100103	Home	"081, boulevard du Montparnasse"	NULL	Saint-Denis	Seine Saint Denis	93400	France
100104	Home	"081, boulevard du Montparnasse"	NULL	Seattle	Washington	98104	United States
100105	Home	"084, boulevard du Montparnasse"	NULL	Les Ulis	Essonne	91940	France
100106	Home	1 Smiling Tree Court	Space 55	Los Angeles	California	90012	United States
100107	Home	"1, allée des Princes"	NULL	Courbevoie	Hauts de Seine	92400	France
100108	Home	"1, avenue des Champs-Elysées"	NULL	Paris	Seine (Paris)	75017	France
100109	Home	"1, boulevard Beau Marchais"	NULL	Sèvres	Hauts de Seine	92310	France
100110	Home	"1, cours Mirabeau"	NULL	Roncq	Nord	59223	France
100111	Home	"1, place Beaubernard"	NULL	Paris	Seine (Paris)	75003	France
100112	Home	"1, place Beaubernard"	NULL	Paris	Seine (Paris)	75009	France
100113	Home	"1, place Beaubernard"	NULL	Saint-Denis	Seine Saint Denis	93400	France
100114	Home	"1, place Beaubernard"	NULL	Tremblay-en-France	Seine Saint Denis	93290	France
100115	Home	"1, place de Brazaville"	NULL	Colomiers	Garonne (Haute)	31770	France
100116	Home	"1, place de Brazaville"	NULL	Dunkerque	Nord	59140	France
100117	Home	"1, place de Brazaville"	NULL	Lille	Nord	59000	France
100118	Home	"1, rue de Courtaboeuf"	NULL	Lieusaint	Seine et Marne	77127	France
100119	Home	"1, rue de Courtaboeuf"	NULL	Lille	Nord	59000	France
100120	Home	"1, rue de Courtaboeuf"	NULL	Versailles	Yveline	78000	France
100121	Home	"1, rue de Fontfroide"	NULL	Paris	Seine (Paris)	75003	France
100122	Home	"1, rue de l´Avenir"	NULL	Chatou	Yveline	78400	France
100123	Home	"1, rue de l´Avenir"	NULL	Morangis	Essonne	91420	France
100124	Home	"1, rue de la Cavalerie"	NULL	Paris La Defense	Hauts de Seine	92081	France
100125	Home	"1, rue de la Cavalerie"	NULL	Roncq	Nord	59223	France
100126	Home	"1, rue de la Cavalerie"	NULL	Sèvres	Hauts de Seine	92310	France
100127	Home	"1, rue de la Centenaire"	NULL	Cergy	Val d'Oise	95000	France
100128	Home	"1, rue de la Centenaire"	NULL	Colombes	Hauts de Seine	92700	France
100129	Home	"1, rue de la Centenaire"	NULL	Les Ulis	Essonne	91940	France
100130	Home	"1, rue de la Centenaire"	NULL	Lille	Nord	59000	France
100131	Home	"1, rue de la Centenaire"	NULL	Roubaix	Nord	59100	France
100132	Home	"1, rue de la Centenaire"	NULL	Saint-Denis	Seine Saint Denis	93400	France
100133	Home	"1, rue de la Centenaire"	NULL	Versailles	Yveline	78000	France
100134	Home	"1, rue de Maubeuge"	NULL	Metz	Moselle	57000	France
100135	Home	"1, rue de Maubeuge"	NULL	Morangis	Essonne	91420	France
100136	Home	"1, rue de Maubeuge"	NULL	Paris	Seine (Paris)	75007	France
100137	Home	"1, rue de Maubeuge"	NULL	Paris	Seine (Paris)	75009	France
100138	Home	"1, rue de Maubeuge"	NULL	Saint Germain en Laye	Yveline	78100	France
100139	Home	"1, rue de Maubeuge"	NULL	Villeneuve-d'Ascq	Nord	59491	France
100140	Home	"1, rue de Varenne"	NULL	Boulogne-Billancourt	Hauts de Seine	92100	France
100141	Home	"1, rue de Varenne"	NULL	Dunkerque	Nord	59140	France
100142	Home	"1, rue Georges-Clémenceau"	NULL	Paris	Seine (Paris)	75003	France
100143	Home	"1, rue Lamarck"	NULL	Versailles	Yveline	78000	France
100144	Home	"1, rue Pierre-Demoulin"	NULL	Croix	Nord	59170	France
100145	Home	"1, rue Pierre-Demoulin"	NULL	Les Ulis	Essonne	91940	France
100146	Home	"1, rue Pierre-Demoulin"	NULL	Orleans	Loiret	45000	France
100147	Home	"1, rue Pierre-Demoulin"	NULL	Paris	Seine (Paris)	75007	France
100148	Home	"1, rue Pierre-Demoulin"	NULL	Paris	Seine (Paris)	75012	France
100149	Home	"1, rue Ste-Honoré"	NULL	Saint Ouen	Loir et Cher	41100	France
100150	Home	10 Napa Ct.	NULL	Lebanon	Oregon	97355	United States
100151	Home	"10, avenue de Norvege"	NULL	Paris	Seine (Paris)	75005	France
100152	Home	"10, avenue du Port"	NULL	Roissy en Brie	Seine et Marne	77680	France
100153	Home	"10, avenue du Président-Kennedy"	NULL	Paris	Seine (Paris)	75019	France
100154	Home	"10, impasse Ste-Madeleine"	NULL	Tremblay-en-France	Seine Saint Denis	93290	France
100155	Home	"10, place Beaubernard"	NULL	Verrieres Le Buisson	Essonne	91370	France
100156	Home	"10, place de Fontenoy"	NULL	Roubaix	Nord	59100	France
100157	Home	"10, route de Marseille"	NULL	Pantin	Seine Saint Denis	93500	France
100158	Home	"10, rue de l´Avenir"	NULL	Suresnes	Hauts de Seine	92150	France
100159	Home	"10, rue de la Centenaire"	NULL	Saint-Denis	Seine Saint Denis	93400	France
100160	Home	"10, rue de la Comédie"	NULL	Lille	Nord	59000	France
100161	Home	"10, rue de Maubeuge"	NULL	Orleans	Loiret	45000	France
100162	Home	"10, rue des Vendangeurs"	NULL	Saint Germain en Laye	Yveline	78100	France
100163	Home	"10, rue Lafayette"	NULL	Paris	Seine (Paris)	75007	France
100164	Home	"10, rue Lauriston"	NULL	Bobigny	Seine Saint Denis	93000	France
100165	Home	"10, rue Philibert-Delorme"	NULL	Paris	Seine (Paris)	75007	France
100166	Home	"10, rue Pierre-Demoulin"	NULL	Orleans	Loiret	45000	France
100167	Home	"10, rue Royale"	NULL	Courbevoie	Hauts de Seine	92400	France
100168	Home	"10, rue Royale"	NULL	Sèvres	Hauts de Seine	92310	France
100169	Home	"100, boulevard d´Albi"	NULL	Paris	Seine (Paris)	75006	France
100170	Home	"100, rue de la Centenaire"	NULL	Paris La Defense	Hauts de Seine	92081	France
100171	Home	"100, rue des Rosiers"	NULL	Everett	Washington	98201	United States
100172	Home	"100, rue des Rosiers"	NULL	Pantin	Seine Saint Denis	93500	France
100173	Home	"100, rue Descartes"	NULL	Boulogne-Billancourt	Hauts de Seine	92100	France
